,Ticker,Momentum
1897,LICY,2.006681561190341
1686,JANX,1.9398782388727658
1716,SMR,1.5114504622590652
1124,SOUN,1.2095490625596441
4,MSTR,1.106866863434289
1517,CDLX,1.0524018364408263
699,SG,1.027385281064341
1856,VERI,1.0180411579277249
941,APGE,0.9138729520532223
171,VKTX,0.8527572410392025
767,GERN,0.6891192119487489
1574,PACK,0.6764045748080382
688,HIMS,0.6620616999929058
1933,VLD,0.6556776152902287
755,RNA,0.653231434880846
1923,CIX,0.631481530375277
1532,SIGA,0.6069364278686418
62,CVNA,0.5967610286832793
1780,VTYX,0.5674603482462894
1779,HIPO,0.556174514068865
1607,HEAR,0.5481549319942636
331,KRYS,0.5461531033891365
1469,XPOF,0.5244029211549025
1122,VMEO,0.5163042995874516
1209,DXPE,0.514418843736763
990,MATV,0.4998104444960364
1945,BGXX,0.48947366274624954
1294,TPC,0.48752838316516084
1555,WVE,0.48621549227192173
960,AHCO,0.4788732593008936
1816,GBIO,0.46305422190568796
811,ACMR,0.4401463902602978
1921,ACRV,0.4394736470608165
1554,FIHL,0.435276232378593
1706,DM,0.43503926983843155
1202,EGY,0.426794543626538
900,ARLO,0.4260970668677679
1385,BAND,0.41792170951295177
943,PUBM,0.41584154559448494
1447,ARIS,0.4104024500263203
1504,SKIN,0.40714290154223615
1267,FIP,0.389671304747283
1612,KODK,0.3888888579053185
1949,EVA,0.38888884800778833
1950,--,0.38888884800778833
1240,ORIC,0.38759691068654945
1598,FGEN,0.3702623083936615
1798,PPTA,0.36896548208810603
1537,AVTE,0.364456169382269
671,LZ,0.35450819231623837
1527,AGTI,0.35341364667131586
1578,LXFR,0.3523447727314895
1613,FF,0.34529914766783015
1254,MRSN,0.34417343122838806
1485,WLDN,0.329468572147809
1508,SMHI,0.32729011975165156
1904,NL,0.3216374383155844
1576,KRO,0.320139691635688
478,ACVA,0.3178571973528181
1534,VYGR,0.31675400463643005
1925,CARA,0.31656802803322837
772,ALPN,0.3145772150475061
1699,CIFR,0.30990407499231426
1064,SWBI,0.30914377830961154
322,STRL,0.3072841765507444
988,RPAY,0.30637255474862035
1793,TRVI,0.3056603447658487
1792,BH,0.3053460412174482
49,DUOL,0.3036841491858841
1632,GRTS,0.3028846815140314
1931,RDW,0.3027210371305303
1932,ADRO,0.3027210371305303
1915,VHI,0.3026421742125544
1715,JYNT,0.3011928038355528
1586,REPX,0.29966188496672297
810,MNKD,0.2972222777796395
1063,OCUL,0.2898935949292426
1208,VITL,0.28833336300320095
453,OUT,0.28763522132640207
1881,BTMD,0.2862903357606524
221,TDW,0.2860405597183636
1201,ATXS,0.28582443163800697
3,FIX,0.28515610374281386
1794,BLUE,0.28440360851976737
1813,OPTN,0.28358207892989207
1946,TSBX,0.2827869020652716
1858,CMPO,0.2827004677833107
1366,NKTX,0.2822665907062884
1802,CTGO,0.28140700507328376
1427,BBW,0.2809734634640202
1882,PRLD,0.2804233304817714
1851,ASRT,0.2784809658607993
701,BYON,0.27775691203913877
969,RVLV,0.2705882936504422
577,STAA,0.2691675047536225
921,CRAI,0.2691612094263982
1195,NRIX,0.2689242848131259
1674,REI,0.263888875091518
1087,SBOW,0.2638146783298942
1913,BHIL,0.2608695871262607
1333,BV,0.2595693977763189
1645,GLUE,0.2581818320534446
1740,ACTG,0.2562189588794374
1501,CELC,0.25435536735201403
1277,STER,0.2529458274012741
1399,BALY,0.2524271242377434
45,ATKR,0.2521398897059992
141,JXN,0.24927453591929294
617,SUPN,0.24911166625004136
927,TILE,0.24654369981673632
1315,TPB,0.24606648927545674
1693,BRCC,0.24552424006518644
1789,SWIM,0.24324329548982915
421,DNLI,0.24258923546939062
328,CRNX,0.24120874756158064
1301,NVAX,0.24120603857948056
0,SMCI,0.24081614872370039
1724,FENC,0.23986487466109926
1899,NVCT,0.23870064297585183
1538,ANNX,0.23828922864643504
1670,ATNM,0.23273276670376356
1165,USLM,0.23021322484466863
1862,COOK,0.2285714480341706
1353,GRND,0.22592159413525437
1340,RILY,0.225914599969572
713,EVBG,0.22515861472719167
1616,RIGL,0.22321428476395655
1815,SEER,0.22292986811428753
188,BHVN,0.22289029710405744
768,DYN,0.2203991746720333
356,ACLX,0.2179422949605032
922,RGNX,0.21684781814342619
115,MOD,0.21395403845769734
1287,DBI,0.21218725266341323
1288,METCV,0.21218725266341323
203,DY,0.21015557042818084
1010,BLX,0.21011629545913843
77,SM,0.2096202222606804
736,FDMT,0.20921453970159212
1826,DNMR,0.20909092189851844
1769,DSP,0.20772950754813665
1837,SGHT,0.20616123356649013
1477,KIND,0.20588229106784453
777,WT,0.2045760452280376
