,Ticker,Momentum
1124,SOUN,3.3385417239042012
1686,JANX,3.032359225027122
1780,VTYX,2.9108911732483964
4,MSTR,2.148670544243133
1897,LICY,1.890792295046816
1716,SMR,1.8119658825038558
171,VKTX,1.801031328876897
1598,FGEN,1.6315788209013264
1793,TRVI,1.5629629459564254
554,VERA,1.5481218213656167
932,ARQT,1.3532218429653489
755,RNA,1.353115897468405
1063,OCUL,1.3429951985721607
293,CLSK,1.3258109190730016
699,SG,1.2390244646770199
1517,CDLX,1.2380952308868156
1856,VERI,1.0935828619625916
772,ALPN,1.0508214425939941
1712,PEPG,1.030523260850852
0,SMCI,0.9917135882154029
1201,ATXS,0.9406976504349087
1045,NNOX,0.9184397076176514
1390,LRMR,0.908888922797309
941,APGE,0.9056115459195144
1756,FHTX,0.8676923605111929
1841,PRPL,0.8635810093934309
613,POWL,0.8633099156743967
1826,DNMR,0.854951225611143
1779,HIPO,0.8397366476954213
1009,PCT,0.836419688812245
688,HIMS,0.7874286106654576
410,IOVA,0.7866322935321209
1933,VLD,0.779527471287106
736,FDMT,0.7345613242579628
62,CVNA,0.7321035500138298
1605,SGMO,0.7111111140545504
1447,ARIS,0.6952621584810047
1881,BTMD,0.6833773558460865
1532,SIGA,0.6547619475619145
1923,CIX,0.6327059927211852
768,DYN,0.6207303415591958
883,SANA,0.6168223874247611
600,KURA,0.6162444419335285
1209,DXPE,0.616102102506625
1021,IBRX,0.6160714279378757
1737,KPTI,0.6117646662834205
1324,MAX,0.6116666793823242
1913,BHIL,0.6111111519922117
1254,MRSN,0.6000000615273772
1670,ATNM,0.5972763135031844
1816,GBIO,0.5967741966495652
1195,NRIX,0.590511786152173
1208,VITL,0.5894448452040837
922,RGNX,0.5778717443093566
1925,CARA,0.5614035032682692
713,EVBG,0.5529254759086272
1294,TPC,0.5453474957904657
1366,NKTX,0.5448799624220965
1811,NOTE,0.5420559768916703
767,GERN,0.5305163452157565
1060,YMAB,0.5271795223920773
1497,SLQT,0.5263158169919878
1426,LXRX,0.5250000130385158
943,PUBM,0.5243170427633657
3,FIX,0.5226210647187094
1554,FIHL,0.5202057527105978
1882,PRLD,0.5172413999281007
1122,VMEO,0.5163042995874516
322,STRL,0.5047196022802188
960,AHCO,0.5
1699,CIFR,0.4963503249497298
1574,PACK,0.49200000762939455
884,QNST,0.489270467775221
1677,CMPX,0.486111124908482
944,VZIO,0.4839572664659743
1918,WLLBW,0.48373708076525995
1657,KOD,0.4819944764819878
147,SHAK,0.4806070150113369
1607,HEAR,0.47008555925948897
1267,FIP,0.4617283450596023
643,DNOW,0.45943213431835833
940,COGT,0.45356368309423845
750,SPHR,0.45308640783397497
257,DOOR,0.4503310828864678
1373,EVER,0.4500000282869496
1018,FATE,0.4492753852113741
1393,TSVT,0.44838706749907054
1725,BARK,0.43318974265693877
1436,MLYS,0.4264550068053999
701,BYON,0.4234800930786118
1845,GRPH,0.420408188929266
1202,EGY,0.40388719768580805
1613,FF,0.3972659125107581
154,CBAY,0.39399144230761357
350,BEAM,0.39360000610351564
1527,AGTI,0.3925618922789426
1485,WLDN,0.38849651268916147
988,RPAY,0.3880208444898019
1942,VGAS,0.3861003988954684
594,AGIO,0.38599730177366737
115,MOD,0.3842646654914407
1586,REPX,0.378923813992618
632,UFPT,0.37729663591055834
854,PRM,0.3772321540235104
900,ARLO,0.3737486869739542
1674,REI,0.3684210479141557
1224,ALLO,0.3676011882603584
1715,JYNT,0.35929387300405524
1802,CTGO,0.35818901443413337
969,RVLV,0.35804109358107744
468,PLMR,0.35574280029185246
810,MNKD,0.3536231918110614
1397,ULCC,0.3487475766520317
1087,SBOW,0.34535105312063585
